first_name,last_name,full_name,nickname,height,weight,reach,stance,wins,losses,draws
Waachiim,Spiritwolf,Waachiim Spiritwolf,Native Warrior,"5' 8""",170 lbs.,--,,12,13,1
Daniel,Spitz,Daniel Spitz,,"6' 7""",245 lbs.,"82.0""",Orthodox,6,3,0
Serghei,Spivac,Serghei Spivac,Polar Bear,"6' 3""",260 lbs.,"78.0""",Orthodox,17,6,0
Daniel,Spohn,Daniel Spohn,Dragon,"6' 4""",205 lbs.,"79.0""",Southpaw,15,6,0
Pete,Spratt,Pete Spratt,The Secret Weapon,"5' 9""",170 lbs.,--,Orthodox,25,23,0
Austin,Springer,Austin Springer,,"5' 8""",145 lbs.,"71.0""",Orthodox,12,4,0
Georges,St-Pierre,Georges St-Pierre,Rush,"5' 11""",185 lbs.,"76.0""",Orthodox,26,2,0
Bobby,Stack,Bobby Stack,,"5' 9""",155 lbs.,--,Orthodox,8,3,0
Andreas,Stahl,Andreas Stahl,Real Steel,"5' 11""",170 lbs.,--,Orthodox,10,4,0
Ron,Stallings,Ron Stallings,The Choir Boy,"6' 2""",170 lbs.,"75.0""",Southpaw,14,8,0
Cody,Stamann,Cody Stamann,The Spartan,"5' 6""",135 lbs.,"64.0""",Orthodox,21,8,1
Cristina,Stanciu,Cristina Stanciu,Barbie,"5' 3""",115 lbs.,--,Orthodox,5,2,0
Brian,Stann,Brian Stann,All American,"6' 1""",205 lbs.,"74.0""",Orthodox,12,6,0
Josh,Stansbury,Josh Stansbury,The Sandman,"6' 2""",205 lbs.,"74.0""",Orthodox,4,8,0
Dion,Staring,Dion Staring,Soldier,"6' 1""",235 lbs.,--,Orthodox,35,14,0
Lucas,Stark,Lucas Stark,,--,155 lbs.,--,,1,5,0
Clifford,Starks,Clifford Starks,,"6' 0""",185 lbs.,"78.0""",Orthodox,13,3,0
Kalib,Starnes,Kalib Starnes,,"6' 3""",185 lbs.,"74.0""",Orthodox,17,11,1
Laureano,Staropoli,Laureano Staropoli,Pepi,"6' 1""",185 lbs.,"71.0""",Orthodox,9,5,0
Damian,Stasiak,Damian Stasiak,Webster,"5' 5""",135 lbs.,"70.0""",Orthodox,10,6,0
Adam,Steele,Adam Steele,,--,170 lbs.,--,,0,1,0
Dominique,Steele,Dominique Steele,Non-Stop Action-Packed,"5' 10""",170 lbs.,"74.0""",Orthodox,14,9,0
Ricky,Steele,Ricky Steele,The Karate Kid,"5' 9""",135 lbs.,"74.0""",Orthodox,6,0,0
Kody,Steele,Kody Steele,,"5' 9""",155 lbs.,"71.0""",Orthodox,7,1,0
Eric,Steenberg,Eric Steenberg,,--,155 lbs.,--,,5,1,0
Steve,Steinbeiss,Steve Steinbeiss,The Hooligan,"6' 3""",185 lbs.,"75.0""",Orthodox,9,4,0
Ray,Steinbeiss,Ray Steinbeiss,Ipswitch Cobra,"5' 11""",170 lbs.,--,Orthodox,14,7,0
Dmitri,Stepanov,Dmitri Stepanov,,"6' 3""",217 lbs.,--,Orthodox,0,1,0
Jeremy,Stephens,Jeremy Stephens,Lil' Heathen,"5' 9""",155 lbs.,"71.0""",Orthodox,28,20,0
Aljamain,Sterling,Aljamain Sterling,Funk Master,"5' 7""",145 lbs.,"71.0""",Orthodox,24,5,0
Marc,Stevens,Marc Stevens,,"5' 9""",155 lbs.,--,,21,10,0
Joe,Stevenson,Joe Stevenson,Daddy,"5' 7""",145 lbs.,"70.0""",Orthodox,33,16,0
Maia,Stevenson,Maia Stevenson,,"5' 4""",115 lbs.,"62.0""",Orthodox,6,5,0
Luke,Stewart,Luke Stewart,,"5' 11""",170 lbs.,--,Orthodox,6,3,0
Darren,Stewart,Darren Stewart,The Dentist,"6' 0""",205 lbs.,"74.0""",Orthodox,12,8,0
Kyle,Stewart,Kyle Stewart,Gunz Up,"6' 0""",170 lbs.,"76.0""",Orthodox,11,3,0
Alex,Stiebling,Alex Stiebling,The Brazilian Killa,"6' 2""",205 lbs.,--,Southpaw,19,11,1
Tyler,Stinson,Tyler Stinson,The Evolution,"6' 3""",170 lbs.,--,,30,10,0
Navajo,Stirling,Navajo Stirling,,"6' 4""",205 lbs.,"79.0""",Orthodox,7,0,0
Dan,Stittgen,Dan Stittgen,The Anvil,"6' 1""",170 lbs.,--,Orthodox,12,5,0
Lazar,Stojadinovic,Lazar Stojadinovic,The Bronx Bomber,"5' 7""",145 lbs.,"68.0""",Southpaw,12,5,0
Denis,Stojnic,Denis Stojnic,,"6' 0""",245 lbs.,--,Orthodox,13,3,0
Julija,Stoliarenko,Julija Stoliarenko,,"5' 7""",125 lbs.,"66.0""",Orthodox,11,10,2
Dustin,Stoltzfus,Dustin Stoltzfus,,"6' 0""",185 lbs.,"75.0""",Orthodox,16,7,0
Niklas,Stolze,Niklas Stolze,Green Mask,"6' 1""",155 lbs.,"74.0""",Switch,12,6,0
Ken,Stone,Ken Stone,,"5' 8""",135 lbs.,"71.0""",Southpaw,11,4,0
Ryan,Stonitsch,Ryan Stonitsch,,"5' 9""",170 lbs.,--,Southpaw,8,1,0
George,Stork,George Stork,,"5' 10""",185 lbs.,--,,7,9,0
Rick,Story,Rick Story,The Horror,"5' 9""",170 lbs.,"71.0""",Southpaw,19,9,0
Darko,Stosic,Darko Stosic,,"6' 0""",205 lbs.,"76.0""",Orthodox,13,4,0
Greg,Stott,Greg Stott,Ranger,"5' 7""",220 lbs.,--,Southpaw,0,1,0
Curtis,Stout,Curtis Stout,,"6' 1""",185 lbs.,--,Southpaw,11,12,1
Sam,Stout,Sam Stout,Hands of Stone,"5' 9""",155 lbs.,"70.0""",Orthodox,20,12,1
Tim,Stout,Tim Stout,,"5' 11""",185 lbs.,--,,12,10,0
Jesse,Strader,Jesse Strader,Sui Generis,"5' 7""",135 lbs.,"70.0""",Orthodox,5,3,0
Gennaro,Strangis,Gennaro Strangis,,--,--,--,,0,1,0
Dave,Strasser,Dave Strasser,,"5' 10""",170 lbs.,--,Orthodox,25,8,0
Daniel,Straus,Daniel Straus,,"5' 7""",145 lbs.,"71.0""",,24,7,0
Gerald,Strebendt,Gerald Strebendt,The Finishing Machine,"5' 9""",155 lbs.,--,Orthodox,9,7,0
Sean,Strickland,Sean Strickland,,"6' 1""",185 lbs.,"76.0""",Orthodox,29,7,0
Mark,Striegl,Mark Striegl,Mugen,"5' 8""",145 lbs.,"70.0""",Southpaw,18,4,0
Hans,Stringer,Hans Stringer,,"6' 3""",205 lbs.,--,Orthodox,22,8,3
Stefan,Struve,Stefan Struve,Skyscraper,"6' 11""",265 lbs.,"84.0""",Orthodox,33,13,0
Josh,Stuart,Josh Stuart,,"5' 9""",160 lbs.,--,,1,4,0
Mike,Stumpf,Mike Stumpf,,"5' 10""",170 lbs.,--,,11,4,0
Kyle,Sturgeon,Kyle Sturgeon,,"6' 3""",225 lbs.,--,Switch,0,1,0
Tatiana,Suarez,Tatiana Suarez,,"5' 5""",115 lbs.,"66.0""",Southpaw,11,1,0
Masanori,Suda,Masanori Suda,,"5' 9""",183 lbs.,--,Orthodox,22,11,3
Genki,Sudo,Genki Sudo,Neo-Samurai,"5' 9""",155 lbs.,--,Orthodox,15,4,2
Lucasz,Sudolski,Lucasz Sudolski,,"6' 4""",205 lbs.,"75.0""",Orthodox,8,1,0
Daisuke,Sugie,Daisuke Sugie,Amazon,"5' 6""",160 lbs.,--,Orthodox,10,8,1
Takashi,Sugiura,Takashi Sugiura,,"5' 11""",225 lbs.,--,Southpaw,1,3,0
Naho,Sugiyuma,Naho Sugiyuma,Sugi Rock,"5' 1""",105 lbs.,--,,12,5,0
,Sulangrangbo,Sulangrangbo,,"5' 9""",135 lbs.,"66.0""",Southpaw,9,3,0
George,Sullivan,George Sullivan,The Silencer,"6' 0""",170 lbs.,"73.0""",Orthodox,17,7,0
Amar,Suloev,Amar Suloev,,"5' 9""",183 lbs.,--,Orthodox,24,7,0
Magomed,Sultanakhmedov,Magomed Sultanakhmedov,,"6' 2""",185 lbs.,--,Southpaw,18,6,0
Justin,Sumter,Justin Sumter,,"6' 2""",185 lbs.,"80.0""",Southpaw,7,3,0
,Sumudaerji,Sumudaerji,The Tibetan Eagle,"5' 8""",125 lbs.,"72.0""",Southpaw,17,7,0
Rama,Supandhi,Rama Supandhi,Hellboy,"5' 5""",125 lbs.,"66.0""",Southpaw,8,4,0
Aji,Susilo,Aji Susilo,,"5' 10""",155 lbs.,--,,6,4,0
Baysangur,Susurkaev,Baysangur Susurkaev,,--,185 lbs.,--,,8,0,0
Jason,Suttie,Jason Suttie,Nobunaga,"6' 0""",210 lbs.,--,Orthodox,0,1,0
Joel,Sutton,Joel Sutton,,"5' 11""",205 lbs.,--,Orthodox,2,4,1
Chad,Sutton,Chad Sutton,,"6' 1""",185 lbs.,--,,2,2,0
Danilo,Suzart,Danilo Suzart,,"6' 0""",260 lbs.,--,Orthodox,9,2,0
Martin,Svensson,Martin Svensson,,"6' 1""",155 lbs.,--,,15,6,0
Daniel,Swain,Daniel Swain,,"5' 9""",145 lbs.,"70.0""",Orthodox,20,10,1
Cub,Swanson,Cub Swanson,,"5' 8""",145 lbs.,"70.0""",Orthodox,30,14,0
Mike,Swick,Mike Swick,Quick,"6' 1""",170 lbs.,"77.0""",Orthodox,15,6,0
Floyd,Sword,Floyd Sword,,"6' 0""",185 lbs.,--,Orthodox,12,3,0
Oumar,Sy,Oumar Sy,,"6' 4""",205 lbs.,"83.0""",Orthodox,11,1,0
Klaudia,Sygula,Klaudia Sygula,,"5' 8""",135 lbs.,"69.0""",Orthodox,7,2,0
Bentley,Syler,Bentley Syler,Bolivia,"5' 4""",125 lbs.,--,Orthodox,5,1,0
Kevin,Syler,Kevin Syler,El Nino Bala,"5' 9""",155 lbs.,"71.0""",Switch,10,1,0
Leo,Sylvest,Leo Sylvest,Lethal,"5' 11""",205 lbs.,--,Orthodox,10,16,0
Tony,Sylvester,Tony Sylvester,,"6' 1""",225 lbs.,--,Southpaw,11,3,0
Tim,Sylvia,Tim Sylvia,The Maine-iac,"6' 8""",265 lbs.,"80.0""",Orthodox,31,10,0
Kevin,Szaflarski,Kevin Szaflarski,,"6' 5""",260 lbs.,"77.0""",Orthodox,11,2,0
Sebastian,Szalay,Sebastian Szalay,Seb,"5' 6""",145 lbs.,"66.0""",Orthodox,9,1,0
Bartosz,Szewczyk,Bartosz Szewczyk,,"6' 4""",205 lbs.,"73.0""",Orthodox,8,3,1
Tom,Aaron,Tom Aaron,,--,155 lbs.,--,,5,3,0
Danny,Abbadi,Danny Abbadi,The Assassin,"5' 11""",155 lbs.,--,Orthodox,4,6,0
Nariman,Abbasov,Nariman Abbasov,Bayraktar,"5' 8""",155 lbs.,"66.0""",Orthodox,28,4,0
David,Abbott,David Abbott,Tank,"6' 0""",265 lbs.,--,Switch,10,15,0
Hamdy,Abdelwahab,Hamdy Abdelwahab,The Hammer,"6' 2""",264 lbs.,"72.0""",Southpaw,6,1,0
Mansur,Abdul-Malik,Mansur Abdul-Malik,,"6' 2""",185 lbs.,"80.0""",Orthodox,8,0,1
Shamil,Abdurakhimov,Shamil Abdurakhimov,Abrek,"6' 3""",235 lbs.,"76.0""",Orthodox,20,8,0
Hiroyuki,Abe,Hiroyuki Abe,Abe Ani,"5' 6""",145 lbs.,--,Orthodox,8,15,3
Daichi,Abe,Daichi Abe,,"5' 11""",170 lbs.,"71.0""",Orthodox,6,2,0
Papy,Abedi,Papy Abedi,Makambo,"5' 11""",185 lbs.,--,Southpaw,10,4,0
Ricardo,Abreu,Ricardo Abreu,Demente,"5' 11""",185 lbs.,--,Orthodox,5,1,0
Klidson,Abreu,Klidson Abreu,White Bear,"6' 0""",205 lbs.,"74.0""",Orthodox,15,4,0
Cyborg,Abreu,Cyborg Abreu,,--,--,--,,0,0,0
Daniel,Acacio,Daniel Acacio,,"5' 8""",180 lbs.,--,Orthodox,30,18,0
John,Adajar,John Adajar,The Outlaw,"5' 9""",170 lbs.,"75.0""",Orthodox,6,2,0
Scott,Adams,Scott Adams,,"6' 0""",225 lbs.,--,Southpaw,8,1,0
Juan,Adams,Juan Adams,The Kraken,"6' 5""",265 lbs.,"80.0""",Orthodox,5,3,0
Anthony,Adams,Anthony Adams,Sugafoot,"6' 1""",185 lbs.,"76.0""",Orthodox,8,2,0
Zarrukh,Adashev,Zarrukh Adashev,The Lion,"5' 5""",125 lbs.,"65.0""",Southpaw,4,4,0
Israel,Adesanya,Israel Adesanya,The Last Stylebender,"6' 4""",185 lbs.,"80.0""",Switch,24,5,0
Sam,Adkins,Sam Adkins,The Experience,"6' 3""",225 lbs.,--,Orthodox,7,20,2
Mohamed,Ado,Mohamed Ado,,"5' 11""",170 lbs.,"76.0""",Switch,5,1,0
Nick,Agallar,Nick Agallar,,"5' 8""",155 lbs.,--,Orthodox,24,6,0
Mariya,Agapova,Mariya Agapova,Money Mashka,"5' 6""",125 lbs.,"68.0""",Southpaw,10,5,0
Kantharaj,Agasa,Kantharaj Agasa,Kannadiga,--,135 lbs.,--,,12,3,0
Marcelo,Aguiar,Marcelo Aguiar,,"5' 10""",170 lbs.,--,Orthodox,2,3,1
Fabio,Aguiar,Fabio Aguiar,,"6' 0""",185 lbs.,--,,17,1,0
Edwin,Aguilar,Edwin Aguilar,Tigre,"5' 10""",185 lbs.,--,,26,19,0
